lat,lon,i,j,UTM_E,UTM_N,depth
46.3000866492984,-72.5622295128298,22,252,687736.657940772,5130278.3223533,-21.098
46.3000312689241,-72.5596348944155,22,253,687936.657940773,5130278.32235331,-17.918
46.2999758297238,-72.5570402836337,22,254,688136.657940775,5130278.32235332,-14.888
46.2999203316979,-72.5544456804924,22,255,688336.657940778,5130278.32235334,-14.198
46.299864774847,-72.5518510849998,22,256,688536.657940775,5130278.32235335,-9.678
46.2998091591714,-72.5492564971639,22,257,688736.657940779,5130278.32235337,-1.86
46.2997534846717,-72.5466619169928,22,258,688936.657940779,5130278.32235338,-0.461
46.2996977513482,-72.5440673444945,22,259,689136.657940779,5130278.3223534,-0.399
46.2985643086805,-72.5752821508952,23,247,686736.657940785,5130078.32235322,-0.475
46.298509225881,-72.5726875792323,23,248,686936.657940786,5130078.32235324,-10.288
46.2984540842569,-72.5700930151605,23,249,687136.657940784,5130078.32235325,-17.978
46.2983988838088,-72.5674984586881,23,250,687336.657940786,5130078.32235327,-21.458
46.2983436245369,-72.564903909823,23,251,687536.657940786,5130078.32235328,-21.318
46.2982883064419,-72.5623093685733,23,252,687736.657940788,5130078.3223533,-18.518
46.2982329295241,-72.5597148349472,23,253,687936.657940789,5130078.32235331,-15.648
46.2981774937841,-72.5571203089526,23,254,688136.657940789,5130078.32235333,-14.028
46.2981219992221,-72.5545257905977,23,255,688336.657940791,5130078.32235334,-10.588
46.2980664458388,-72.5519312798905,23,256,688536.657940792,5130078.32235336,-2.724
46.2980108336345,-72.5493367768391,23,257,688736.657940792,5130078.32235337,-0.355
46.2979551626096,-72.5467422814516,23,258,688936.657940793,5130078.32235338,-0.294
46.2978994327648,-72.5441477937361,23,259,689136.657940793,5130078.3223534,-0.408
46.2968209684626,-72.5779560695619,24,246,686536.657940799,5129878.32235321,-0.288
46.2967659479224,-72.5753615751013,24,247,686736.657940797,5129878.32235322,-11.118
46.2967108685609,-72.5727670882229,24,248,686936.657940798,5129878.32235324,-18.388
46.2966557303785,-72.5701726089349,24,249,687136.657940802,5129878.32235325,-21.688
46.2966005333757,-72.5675781372452,24,250,687336.657940799,5129878.32235327,-21.658
46.296545277553,-72.564983673162,24,251,687536.6579408,5129878.32235328,-18.628
46.2964899629106,-72.5623892166933,24,252,687736.657940803,5129878.3223533,-16.138
46.2964345894492,-72.5597947678472,24,253,687936.657940804,5129878.32235331,-13.958
46.2963791571692,-72.5572003266318,24,254,688136.657940803,5129878.32235333,-10.948
46.2963236660709,-72.5546058930552,24,255,688336.657940805,5129878.32235334,-8.198
46.2962681161549,-72.5520114671254,24,256,688536.657940807,5129878.32235335,-0.533
46.2962125074216,-72.5494170488505,24,257,688736.657940804,5129878.32235337,-0.295
46.2961568398715,-72.5468226382385,24,258,688936.657940807,5129878.32235338,-0.078
46.295132461354,-72.5832242434863,25,244,686136.657940812,5129678.32235318,-0.188
46.2950775618847,-72.5806298186647,25,245,686336.657940812,5129678.32235319,-0.571
46.2950226035967,-72.5780354014082,25,246,686536.657940813,5129678.32235321,-12.468
46.2949675864907,-72.5754409917251,25,247,686736.657940811,5129678.32235322,-20.008
46.294912510567,-72.5728465896232,25,248,686936.657940815,5129678.32235324,-22.558
46.2948573758261,-72.5702521951108,25,249,687136.657940815,5129678.32235325,-21.978
46.2948021822685,-72.5676578081958,25,250,687336.657940817,5129678.32235327,-17.978
46.2947469298945,-72.5650634288865,25,251,687536.657940816,5129678.32235328,-16.248
46.2946916187047,-72.5624690571907,25,252,687736.657940818,5129678.3223533,-13.318
46.2946362486994,-72.5598746931166,25,253,687936.657940818,5129678.32235331,-11.178
